2022-02-16 10:02:29 DEBUG PropertyBinder:266 - Building property id
2022-02-16 10:02:29 DEBUG BinderHelper:644 - #makeIdGenerator(org.hibernate.mapping.SimpleValue([org.hibernate.mapping.Column(id)]), id, assigned, , ...)
2022-02-16 10:02:29 DEBUG Ejb3Column:213 - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(student), mappingColumn=average_mark, insertable=true, updatable=true, unique=false}
2022-02-16 10:02:29 DEBUG PropertyBinder:175 - MetadataSourceProcessor property averageMark with lazy=false
2022-02-16 10:02:29 DEBUG AbstractPropertyHolder:94 - Attempting to locate auto-apply AttributeConverter for property [entity.Student:averageMark]
2022-02-16 10:02:29 DEBUG SimpleValueBinder:411 - building SimpleValue for averageMark
2022-02-16 10:02:29 DEBUG PropertyBinder:266 - Building property averageMark
2022-02-16 10:02:29 DEBUG Ejb3Column:213 - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(student), mappingColumn=birthday, insertable=true, updatable=true, unique=false}
2022-02-16 10:02:29 DEBUG PropertyBinder:175 - MetadataSourceProcessor property birthday with lazy=false
2022-02-16 10:02:29 DEBUG AbstractPropertyHolder:94 - Attempting to locate auto-apply AttributeConverter for property [entity.Student:birthday]
2022-02-16 10:02:29 DEBUG SimpleValueBinder:411 - building SimpleValue for birthday
2022-02-16 10:02:29 DEBUG PropertyBinder:266 - Building property birthday
2022-02-16 10:02:29 DEBUG Ejb3Column:213 - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(student), mappingColumn=class_name, insertable=true, updatable=true, unique=false}
2022-02-16 10:02:29 DEBUG PropertyBinder:175 - MetadataSourceProcessor property className with lazy=false
2022-02-16 10:02:29 DEBUG AbstractPropertyHolder:94 - Attempting to locate auto-apply AttributeConverter for property [entity.Student:className]
2022-02-16 10:02:29 DEBUG SimpleValueBinder:411 - building SimpleValue for className
2022-02-16 10:02:29 DEBUG PropertyBinder:266 - Building property className
2022-02-16 10:02:29 DEBUG Ejb3Column:213 - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(student), mappingColumn=full_name, insertable=true, updatable=true, unique=false}
2022-02-16 10:02:29 DEBUG PropertyBinder:175 - MetadataSourceProcessor property fullName with lazy=false
2022-02-16 10:02:29 DEBUG AbstractPropertyHolder:94 - Attempting to locate auto-apply AttributeConverter for property [entity.Student:fullName]
2022-02-16 10:02:29 DEBUG SimpleValueBinder:411 - building SimpleValue for fullName
2022-02-16 10:02:29 DEBUG PropertyBinder:266 - Building property fullName
2022-02-16 10:02:29 DEBUG Ejb3Column:213 - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(student), mappingColumn=gender, insertable=true, updatable=true, unique=false}
2022-02-16 10:02:29 DEBUG PropertyBinder:175 - MetadataSourceProcessor property gender with lazy=false
2022-02-16 10:02:29 DEBUG AbstractPropertyHolder:94 - Attempting to locate auto-apply AttributeConverter for property [entity.Student:gender]
2022-02-16 10:02:29 DEBUG SimpleValueBinder:411 - building SimpleValue for gender
2022-02-16 10:02:29 DEBUG PropertyBinder:266 - Building property gender
2022-02-16 10:02:29 DEBUG Ejb3Column:213 - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(student), mappingColumn=major, insertable=true, updatable=true, unique=false}
2022-02-16 10:02:29 DEBUG PropertyBinder:175 - MetadataSourceProcessor property major with lazy=false
2022-02-16 10:02:29 DEBUG AbstractPropertyHolder:94 - Attempting to locate auto-apply AttributeConverter for property [entity.Student:major]
2022-02-16 10:02:29 DEBUG SimpleValueBinder:411 - building SimpleValue for major
2022-02-16 10:02:29 DEBUG PropertyBinder:266 - Building property major
2022-02-16 10:02:29 DEBUG AnnotationBinder:557 - Binding entity from annotated class: entity.Subject
2022-02-16 10:02:29 DEBUG Ejb3Column:213 - Binding column: Ejb3DiscriminatorColumn{logicalColumnName'DTYPE', discriminatorTypeName='string'}
2022-02-16 10:02:29 DEBUG EntityBinder:430 - Import with entity name Subject
2022-02-16 10:02:29 DEBUG EntityBinder:873 - Bind entity entity.Subject on table subject
2022-02-16 10:02:29 DEBUG Ejb3Column:213 - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(subject), mappingColumn=id, insertable=true, updatable=true, unique=false}
2022-02-16 10:02:29 DEBUG PropertyBinder:175 - MetadataSourceProcessor property id with lazy=false
2022-02-16 10:02:29 DEBUG AbstractPropertyHolder:94 - Attempting to locate auto-apply AttributeConverter for property [entity.Subject:id]
2022-02-16 10:02:29 DEBUG SimpleValueBinder:411 - building SimpleValue for id
2022-02-16 10:02:29 DEBUG PropertyBinder:266 - Building property id
2022-02-16 10:02:29 DEBUG BinderHelper:644 - #makeIdGenerator(org.hibernate.mapping.SimpleValue([org.hibernate.mapping.Column(id)]), id, assigned, , ...)
2022-02-16 10:02:29 DEBUG Ejb3Column:213 - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(subject), mappingColumn=name, insertable=true, updatable=true, unique=false}
2022-02-16 10:02:29 DEBUG PropertyBinder:175 - MetadataSourceProcessor property name with lazy=false
2022-02-16 10:02:29 DEBUG AbstractPropertyHolder:94 - Attempting to locate auto-apply AttributeConverter for property [entity.Subject:name]
2022-02-16 10:02:29 DEBUG SimpleValueBinder:411 - building SimpleValue for name
2022-02-16 10:02:29 DEBUG PropertyBinder:266 - Building property name
2022-02-16 10:02:29 DEBUG Ejb3Column:213 - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(subject), mappingColumn=total_lesson, insertable=true, updatable=true, unique=false}
2022-02-16 10:02:29 DEBUG PropertyBinder:175 - MetadataSourceProcessor property totalLesson with lazy=false
2022-02-16 10:02:29 DEBUG AbstractPropertyHolder:94 - Attempting to locate auto-apply AttributeConverter for property [entity.Subject:totalLesson]
2022-02-16 10:02:29 DEBUG SimpleValueBinder:411 - building SimpleValue for totalLesson
2022-02-16 10:02:29 DEBUG PropertyBinder:266 - Building property totalLesson
